Original name,Name (key),Crop,Stage,Treatment,Rate (lb/ac),Rate (note),Sand-Silt-Clay,Sand-Silt-Clay (note),OM,pH,Nitrate N,Po4P of pH < 6,Po4P of pH > 6,Potassium,Magnesium,Calcium,Sulfur,Zinc,Manganese,Copper,Iron,Boron,Potassium (CEC),Magnesium (CEC),Calcium (CEC),Sodium (cation) (CEC),Hydrogen (cation) (CEC),Total CEC (CEC),SO4 (conductivity),Chlorine (conductivity),Sodium (conductivity),EC (conductivity),Fizz Test (conductivity),Water Soluble Carbon,H2O Capacity %,Orthophosphate-p (H3A Extraction),Phosphorous (H3A Extraction),Potassium (H3A Extraction),Magnesium (H3A Extraction),Calcium (H3A Extraction),Sodium (H3A Extraction),Iron (H3A Extraction),Aluminum (H3A Extraction),Nitrate (WSE),Ammonical Nitogen (WSE),Orthophosphate-P (WSE),Carbon (WSE),Total Nitrogen (WSE),CO2C Burst (Haney),Organic carbon (Haney),Organic nitrogen (Haney),Organic C/N ration (Haney),Haney Test,Nitrogen Credit via Haney,Alternaria (Pathogen),Collectotrichum (Pathogen),Clindrocarpon (Pathogen),Fusarium (Pathogen),Phytophthora (Pathogen),Pythium (Pathogen),Rhizoctonia (Pathogen),Stemphyllium (Pathogen),Verticillium (Beneficial),Macrophomina (Beneficial),Bptryosphaeria sp. (Beneficial),Aspergillus (Beneficial),Cladosporium (Beneficial),Penicillium (Beneficial),Rhizopus (Beneficial),Trichoderma (Beneficial)
Kalin Farms Onion Mid-growth NH-700 2/28/20,Kalin,Onion,Mid-growth,Novihum,700,,66-14-20,,2.2,8.7,8.9,,5.4,59.1,290.3,1060.6,22.4,0.6,4.6,0.5,10.9,0.7,1.8,29.3,64.1,4.7,0,8.3,67.2,19.3,91.2,0.75,1,,,97.6,105,38,159,1186,71,18,33,17,1.4,2.42,168.2,20.9,6.1,168.2,2.5,67.3,2.5,4,,,,,,,,,,,,,,,,
Kalin Farms Onion Mid-growth  6/9/20,Kalin,Onion,Mid-growth,Control,0,,64-18-18,,1.2,7.9,15.6,,6.8,84.3,288.6,1894.2,43.7,<0.1,3.9,0.6,17.4,1,1.7,19.1,75,4.1,0,12.6,161.1,74,119.8,0.8,1,,45.1,76.1,78,35,178,1128,105,16,28,16,1.1,1.28,147.4,21.5,24,147.4,4.4,33.5,4.3,8,,,,,,,,,,,,,,,,
Kalin Farms Onion Mid-growth NH-350 6/9/20,Kalin,Onion,Mid-growth,Novihum,350,,66-14-20,,1.2,8,19.5,,6.9,85,287.1,1845.3,72.2,<0.1,3.6,0.6,16.1,1,1.8,19.4,74.6,4.2,0,12.4,216.6,77.1,120.3,0.9,1,,47.1,84.5,86,40,203,1257,128,18,33,12,1.3,1.36,148.6,18.5,26,148.6,5.2,28.6,4.6,10,,,,,,,,,,,,,,,,
Kalin Farms Onion Mid-growth NH-700 6/9/20,Kalin,Onion,Mid-growth,Novihum,700,,72-12-16,,1.6,7.9,17.9,,6.7,81.4,254.4,1698.9,41.2,<0.1,4,0.4,13.4,0.8,1.9,18.8,75.4,3.8,0,11.3,123.6,84.4,99.5,0.8,1,,46.05,113.7,117,40,171,781,107,18,34,12,1.2,1.24,133.5,16.5,24,133.5,3.3,40.5,4.1,7,,,,,,,,,,,,,,,,
Justin Estate  11/22/19,Justin,Vineyards,Pre-Novium Aplication,Control,0,,24-42-34,,4,7.6,8.2,,3.3,146.1,109,5554,9.2,0.3,13.9,0.9,10.6,0.7,1.3,3.1,94.9,0.6,0,29.2,27.6,5.2,44.9,0.3,1,,50.5,11.4,13,37,62,6360,30,3,35,9,0.8,1.04,111.8,15.1,51,111.8,5.3,21.1,6.7,12,,,,,,,,,,,,,,,,
Justin Creston Road,Justin,Vineyards,After Application ,Control,0,,22-38-40,,3.3,7.8,5.3,,3.9,203.2,151.1,661.1,36.5,0.1,12.3,1.1,15.3,1,1.5,3.6,94.2,0.7,0,35,109.5,<0.1,57.6,0.5,1,,,14.2,18,72,58,5689,26,8,40,12,0.9,0.86,161.6,29.1,38,161.6,16.2,10,7,32,ND,ND,ND,+++,+++,ND,ND,+++,ND,,,+++,ND,++,+++,ND
Justin Creston Road  9-8-20,Justin,Vineyards,After Application ,Control,0,,22-32-46,,5.2,8.2,6.2,,,225,418.4,6399.5,77.4,0,20.2,1.2,10.8,2.1,1.5,9.2,84.4,4.8,0,37.9,232.2,44.7,419.2,0.7,4,,,9.4,13,63,174,5909,250,13,53,3,1.2,1.28,253.7,13.3,25,253.7,9.1,27.9,5.9,10,,5.9,,,,,,,,,,,,,,
Justin Estate #1 11/22/19,Justin,Vineyards,Pre-Novium Aplication,Novihum,1000,,54-20-26,,3.2,6.5,14.7,,12.9,271.8,363.7,2083.2,46.4,1.1,39.1,1.4,32.1,0.5,4.6,20.1,69.1,1,5,14.3,139.2,25.3,36.8,0.5,1,,53.5,63.3,74,143,124,439,27,43,94,19,1.6,10.73,186.1,31.7,177,186.1,11.1,16.8,20.7,25,,,,,,,,,,,,,,,,
Justin Creston Road #1 4/23/20,Justin,Vineyards,Mid-growth,Novihum,333,,60-16-24,,2.5,6.7,12.5,,15.6,301.4,332.7,3417.9,2.3,1,32,1.6,65.5,0.6,3.6,13,79.9,0.4,3,20.7,6.9,<0.1,23.3,0.6,1,,,49.7,57,142,79,330,19,43,70,21,1.1,12.86,258.4,46.6,79,258.4,24.5,10.6,12.9,51,ND,ND,ND,++,+,ND,ND,ND,ND,,,++,ND,+,+++,ND
Justin Creston Road #1 9-8-20,Justin,Vineyards,Mid-growth,Novihum,333,,50-18-32,,3.7,7.5,7.4,,11.8,302,562.9,2186.8,16.3,1.6,22.2,1.4,22.1,1.3,4.6,27.8,64.6,2.9,0,16.9,48.9,24.8,115.4,0.3,1,,,34.6,46,113,157,310,71,38,88,5,1,5.3,276.9,14.9,50,276.9,8.9,31.1,8.7,15,,,,,,,,,,,,,,,,
Justin Estate #2 11/22/19,Justin,Vineyards,Pre-Novium Aplication,Novihum,1000,,48-20-32,,3.7,7.8,6.4,,9.8,326.7,520.7,3590.5,5.2,0.3,19.9,1.2,13.9,0.5,3.6,18.6,77.1,0.6,0,23.3,15.6,9.7,33,0.3,1,,55.5,62.3,70,100,124,481,21,23,96,7,1,4.57,123.8,15.4,149,123.8,7.4,16.7,16.9,17,,,,,,,,,,,,,,,,
Justin Creston Road #2 4/23/20,Justin,Vineyards,Mid-growth,Novihum,333,,38-24-40,,3.3,7.1,9.3,,16.4,564.6,696.1,3230.9,<0.1,0.7,19.6,1.8,29.3,1.5,6.1,24.5,68.2,1,0,23.7,0,<0.1,58.3,0.4,1,,,42.9,48,17,92,360,33,44,98,9,0.8,7.99,204.9,24.5,102,204.9,14.7,13.9,13.7,31,ND,ND,ND,++,+,ND,++,+,ND,,,++,ND,++ ,+++,ND
Justin Creston Road #2 9-8-20,Justin,Vineyards,Mid-growth,Novihum,333,,40-18-42,,4.9,7.1,16.7,,7.9,371.7,840.4,3433.9,44.6,0.9,27.9,1.9,20.6,1.6,3.7,27,66.1,3.1,0,25.9,133.8,83.4,187.2,0.6,1,,,35.8,43,96,131,319,95,41,113,9,1.3,2.16,209.7,16,51,209.7,5.7,36.8,7.8,14,,,,,,,,,,,,,,,,
Justin Mill Road #1  Block 5 4/23/20,Justin,Vineyards,Pre-Novium Aplication,Control,0,,40-20-40,,3.3,6.8,4.1,,17.6,381.1,980.8,3708.8,192.4,4.4,18,5.8,30.6,1.7,3,28.4,64.3,1.8,2,28.2,677.2,<0.1,123,1.1,1,,,37.8,43,97,154,468,61,56,154,9,1.2,4.72,170.5,20.8,89,170.5,10.6,16.1,11.7,24,ND,ND,ND,++,++,ND,++,ND,ND,++,++,++,ND,+,+++,ND
Justin Mill Road #2 Block 5 4/23/20,Justin,Vineyards,Pre-Novium Aplication,Novihum,1000,,42-20-38,,3.3,6.4,4.5,,19.3,364.9,753.1,4565.7,1180.9,7.3,22.3,9.3,42.5,2.3,2.9,19.2,69.8,2.1,6,30.7,3542.7,<0.1,160.4,2.2,1,,,41.9,52,115,155,542,71,58,146,10,2,4.56,159.8,22.8,93,159.8,10.8,14.8,12,26,ND,ND,ND,+,++,ND,++,++,ND,ND,++,+,ND,+,+++,+
Justin Mill Road #3 Block 6 4/23/20,Justin,Vineyards,Pre-Novium Aplication,Novihum,1000,,68-10-22,,1.9,7,15.2,,17.9,189.9,378.2,2057.4,55,3.6,9.2,4.6,23.3,1.6,3,22,71.9,2.6,0,14.3,165,<0.1,86.1,0.6,1,,,38.7,45,117,104,422,81,48,126,14,2.2,5.62,24,35,96,240.1,18.8,12.8,13.9,42,ND,ND,ND,+,++,ND,ND,++,ND,ND,++,++,ND,+,+++,++
Justin Mill Road #4 Block 8 4/23/20,Justin,Vineyards,Pre-Novium Aplication,Novihum,1000,,70-12-18,,2.2,6.2,8.2,,21,179.9,120.2,1665.3,194.5,9.9,19.3,8.2,53.2,1.2,4.2,9.1,76,2.5,8,10.1,583.5,<0.1,64.9,1.2,1,,,35.3,41,95,42,427,53,51,61,9,2.2,8.98,217.7,30.1,102,217.7,18.9,115,14.3,42,ND,ND,ND,+,++,ND,ND,++,ND,ND,++,++,ND,+,+++,+++
Justin Mill Road #5  Block 8 4/23/20,Justin,Vineyards,Pre-Novium Aplication,Control,0,,56-16-28,,2.3,6.7,16.5,,22,358.2,521.6,3212,506.2,5,21.6,63,26.4,1.7,4.1,19.5,72,1.2,3,21.6,1518.6,6,64.8,1,1,,,53.3,63,166,117,431,52,44,112,17,1.9,9.99,211,39.4,99,211,20.5,10.3,14.1,45,ND,ND,ND,+++,++,ND,++,+,ND,++,+++,++,ND,+,+++,ND
Justin Mill Road #1  Block 5 8/25/20,Justin,Vineyards,Post Aplication End of Season,Control,0,,38-20-42,,3.5,6.5,16.5,,15,285.9,719.4,2761.8,128.3,2.4,25.8,3.9,20.8,1.6,3.2,26.4,60.7,4.5,5,21.6,384.9,69.7,239.6,1.6,1,,,23.8,28,69,141,399,119,33,108,25,1.6,0.01,230.4,27.8,55,230.4,1.2,192,7.9,5,,,,,,,,,,,,,,,,
Justin Mill Road #2 Block 5 8/25/20,Justin,Vineyards,Post Aplication End of Season,Novihum,1000,,40-20-40,,4.5,6.4,18.4,,17.3,379.7,683.8,3196.1,501.9,2.9,30.6,4.5,25.5,2.1,3.9,22.7,63.6,3.7,6,23.6,1505.7,57.5,216.5,2.6,1,,,37,44,114,174,550,124,36,96,32,2.8,4.78,272.6,36.1,99,272.6,1.3,209.7,12.8,8,,,,,,,,,,,,,,,,
Justin Mill Road #3 Block 6 8/25/20,Justin,Vineyards,Post Aplication End of Season,Novihum,1000,,62-8-33,,4,6.6,21.9,,17.9,210.9,348.3,2352.1,183.2,2.1,15.3,4,18.1,1.7,3.3,17.5,70.9,4.2,4,15.9,549.6,48.6,161.7,1.4,1,,,24.5,31,76,85,394,115,27,76,18,2.4,3.21,317.3,25.6,50,317.3,5.2,61,8.7,11,,,,,,,,,,,,,,,,
Justin Mill Road #4 Block 8 8/25/20,Justin,Vineyards,Post Aplication End of Season,Novihum,1000,,54-16-30,,2,6.3,19.4,,24.6,280.4,330.4,2170.5,207,2,21.9,3.2,16.8,1.3,4.5,17.4,68.5,2.5,7,14.7,621,47.8,93.6,1.4,1,,,58.8,66,157,144,450,90,36,100,15,2.1,7.07,275.7,22.4,62,275.7,5.3,52,9.5,14,,,,,,,,,,,,,,,,
Justin Mill Road #5  Block 8 8/25/20,Justin,Vineyards,Post Aplication End of Season,Control,0,,60-18-22,,2,5.9,34.7,17.8,,178.8,152.8,2082.4,446.5,4.9,29,7.9,55,1.1,3.3,9,73.9,2.7,11,12.5,1339.5,22.1,89,2.5,1,,,28.8,37,84,62,484,71,49,65,29,2.9,5.68,297.3,35.4,38,297.3,3.5,84.9,7.1,9,,,,,,,,,,,,,,,,
Mid South Family Farms Check 1st Plot,Mid South,Cotton,Pre-Novium Aplication 12-26-19,Control,0,,58-30-12,est,1.7,7.8,8.6,,5,158.1,244.9,964.1,5,0.01,8.6,0.8,33.3,0.3,5.6,28,66.1,0.2,0,7.3,15,3.1,4.3,0.1,1,,,17.7,22,108,105,348,7,77,46,9,1.5,0.7,145.1,12.7,40,145.1,2.2,66,5.7,7,,,,,,,,,,,,,,,,
Mid South Family Farms Check 2nd Plot,Mid South,Cotton,Pre-Novium Aplication 12-26-19,Control,0,,58-30-12,est,2.3,7.9,0.8,,4.3,191.9,284,1260.1,0.1,0.01,10.3,0.9,38.5,0.4,5.4,25.8,68.6,0.1,0,9.2,0,11.9,2.9,0.2,1,,,16.7,19,66,100,308,6,66,44,13,1.2,0.34,124,15.6,184,124,1.4,88.6,19.8,5,,,,,,,,,,,,,,,,
Mid South Family Farms 300 lb left side 2nd plot,Mid South,Cotton,Pre-Novium Aplication 12-26-19,Novihum,300,,58-30-12,est,1.7,8.1,0.4,,2.7,202.6,245.4,1075.7,9.3,0.01,7.7,0.8,39,0.3,6.5,25.7,67.6,0.1,0,8,27.9,6.6,2.2,0.1,1,,,13.1,15,111,99,334,5,58,39,11,0.9,0.28,114.9,13.7,66,114.9,1.8,63.8,7.9,5,,,,,,,,,,,,,,,,
Mid South Family Farms 300 lb right side 2nd plot,Mid South,Cotton,Pre-Novium Aplication 12-26-19,Novihum,300,,58-30-12,est,2.3,6.9,1,,6.6,250,208.1,1079.4,9.8,0.01,14.1,1,61.6,0.2,8.2,22.1,68.6,0,1,7.8,29.4,0.6,1.5,0.1,1,,,16.7,19,63,71,325,6,62,38,17,1.2,0.65,150,19.1,102,150,0.9,166.7,11.8,4,,,,,,,,,,,,,,,,
Mid South Family Farms 600 lb 1st plot,Mid South,Cotton,Pre-Novium Aplication 12-26-19,Novihum,600,,58-30-12,est,2,7.4,1.5,,1.8,238.5,240.1,1081.1,4,0.01,9.6,0.7,36.8,0.3,7.6,24.8,67,0.5,0,8.1,12,,11.1,0.1,1,,,11.7,14,105,70,304,6,49,32,11,1.2,0.36,106.2,13.2,111,106.2,1,106.2,12.3,4,,,,,,,,,,,,,,,,
Mid South Family Farms 600 lb 2nd plot,Mid South,Cotton,Pre-Novium Aplication 12-26-19,Novihum,600,,58-30-12,est,2,7.9,0.6,,1.7,205.8,285.7,1184.2,0.1,0.01,7,0.8,28.7,0.3,5.9,26.8,66.7,0.5,0,8.9,0,0.01,10.8,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid South Family Farms 1200 lb 1st plot,Mid South,Cotton,Pre-Novium Aplication 12-26-19,Novihum,1200,,58-30-12,est,1.6,7.7,0.9,,1.6,169.4,236.3,920.5,12.8,0.01,6.5,0.7,27.9,0.2,6.2,28.1,65.6,0.1,0,7,41.4,0.1,2.1,0.1,1,,,12.6,15,91,89,320,6,51,36,12,1.1,0.17,114.8,13.7,64,114.8,0.6,191.3,7.6,3,,,,,,,,,,,,,,,,
Mid South Family Farms 1200 lb 2nd plot,Mid South,Cotton,Pre-Novium Aplication 12-26-19,Novihum,1200,,58-30-12,est,2.2,8,1.2,,2.6,239.3,298.8,1416.2,0.1,0.01,8.2,0.9,36.4,0.4,6,24.4,69.4,0.1,0,10.2,0.3,0.6,4,0.2,1,,,16.5,19,120,114,333,10,76,51,13,1.3,0.27,145.5,15.2,53,145.5,0.9,161.7,6.8,4,,,,,,,,,,,,,,,,
Mid South Family Farms Check 1st Plot,Mid South,Cotton,Mid-growth 8-20-20,Control,0,,58-30-12,,2.5,7.9,13.7,,9.9,134.8,208.4,1005.2,13.6,BDL,10,0.9,26.4,0.5,4.8,24.3,70.2,0.5,0,7.2,40.8,22.8,9.7,0.2,1,,,13.5,18,52,69,275,9,46,29,4,1.2,0.19,145.6,9.5,19,146.6,4.3,33.9,3.8,7,,,,,,,,,,,,,,,,
Mid South Family Farms Check 2nd Plot,Mid South,Cotton,Mid-growth 8-20-20,Control,0,,58-30-12,,2.2,7.9,11.9,,6.1,162.2,203.5,993.2,14.1,BDL,8,0.07,24.7,0.4,5.9,23.9,70,0.1,0,7.1,42.3,16.8,2.7,0.2,1,,,13.7,18,66,75,294,8,53,30,3,1.5,0.61,217.1,12.1,11,217.1,7.6,28.6,4,6,,,,,,,,,,,,,,,,
Mid South Family Farms 300 lb left side 2nd plot,Mid South,Cotton,Mid-growth 8-20-20,Novihum,300,,62-28-10,,2.1,7.5,49.4,,3.8,154.2,202.2,1020.1,33.7,BDL,8.6,0.8,23.9,0.4,5.5,23.4,70.7,0.3,0,7.2,101.1,40.5,5.6,0.6,1,,,16.3,21,103,100,366,14,58,38,27,2.7,0.4,186.1,31.6,18,186.1,1.9,98,3.9,7,,,,,,,,,,,,,,,,
Mid South Family Farms 300 lb right side 2nd plot,Mid South,Cotton,Mid-growth 8-20-20,Novihum,300,,62-28-10,,1.3,7.6,36.5,,2.4,164.3,198.4,940.3,5.7,BDL,7.5,0.7,22.1,0.9,6.2,24.4,69.2,0.1,0,6.8,17.1,24.5,2.4,0.5,1,,,15.7,20,87,79,301,8,47,30,18,1.7,0.69,159.3,20.7,43,159.3,1,159.3,6,5,,,,,,,,,,,,,,,,
Mid South Family Farms 600 lb 1st plot,Mid South,Cotton,Mid-growth 8-20-20,Novihum,600,,58-32-10,,2.1,7.8,19.4,,5.8,125.8,196.6,1056.7,BDL,BDL,12.1,1,30.3,0.7,4.4,22.6,72.8,0.1,0,7.3,BDL,12.5,2.5,0.2,1,,,13.1,18,60,73,304,7,47,31,6,2.4,0.5,225.5,15.1,34,225.5,6.7,33.7,6.3,13,,,,,,,,,,,,,,,,
Mid South Family Farms 600 lb 2nd plot,Mid South,Cotton,Mid-growth 8-20-20,Novihum,600,,56-32-12,,1.5,7.8,8.7,,4.2,123.1,188.7,1005.1,BDL,BDL,11.2,1,31.1,0.8,4.6,22.7,72.5,0.1,0,6.9,BDL,7.5,2.4,0.2,1,,,21.3,27,106,85,378,8,66,34,6,2.3,1.5,228.9,14.9,40,228.9,6.6,34.7,6.9,14,,,,,,,,,,,,,,,,
Mid South Family Farms 1200 lb 1st plot,Mid South,Cotton,Mid-growth 8-20-20,Novihum,1200,,60-30-10,,2.5,7.6,18.5,,6.4,190.1,202.3,962.2,9.6,BDL,11.3,1,31.8,0.7,7,24.1,68.6,0.3,0,7,28.8,12.8,5.1,0.3,1,,,14.3,19,90,86,330,7,52,31,27,1.7,0.25,168.1,30.5,17,168.1,1.8,93.4,3.6,5,,,,,,,,,,,,,,,,
Mid South Family Farms 1200 lb 2nd plot,Mid South,Cotton,Mid-growth 8-20-20,Novihum,1200,,60-30-10,,1,7.6,33.6,,6.3,188.7,196.6,977.8,7.5,BDL,12.2,1,35.1,0.6,6.9,23.3,69.6,0.1,0,7,22.5,13.1,1.9,0.3,1,,,14.8,20,90,106,378,7,53,34,60,2.4,0.19,195.4,63.7,43,195.4,1.3,150.3,6.4,7,,,,,,,,,,,,,,,,
Mid South Family Farms Check 1st Plot,Mid South,Cotton,After Harvest 12-29-20,Control,0,,50-32-18,,2.4,7.7,7.1,,10,184.3,229.2,984.4,BDL,0.03,7.7,1.1,32.8,0.5,6.5,26.1,67.3,BDL,0,7.3,BDL,10.7,BDL,0.3,1,,,26,31,153,128,334,8,107,58,5,3.4,1.22,286.9,24.9,82,286.9,16.5,17.4,12.7,40,,,,,,,,,,,,,,,,
Mid South Family Farms Check 2nd Plot,Mid South,Cotton,After Harvest 12-29-20,Control,0,,54-28-18,,1.8,7.6,7,,14,141.1,208,960.6,BDL,0.5,10.6,1.2,36.4,0.4,5.2,25.1,69.5,1.34,0,6.9,BDL,12.2,1.3,0.2,1,,,23,26,119,112,341,9,92,51,5,2.3,1.09,208.5,18.8,40,208.5,11.5,18.1,7.2,22,,,,,,,,,,,,,,,,
Mid South Family Farms 300 lb left side 2nd plot,Mid South,Cotton,After Harvest 12-29-20,Novihum,300,,54-30-16,,2.3,7.6,5.3,,10.5,180.2,238.6,267.7,BDL,0.5,9.2,1.4,36.1,0.5,6.3,27.2,66.1,0.3,0,7.3,BDL,8.9,5.8,0.2,1,,,18,22,115,96,345,8,73,44,5,2.7,0.97,251.2,22.5,43,251.2,14.8,17,8.3,26,,,,,,,,,,,,,,,,
Mid South Family Farms 300 lb right side 2nd plot,Mid South,Cotton,After Harvest 12-29-20,Novihum,300,,58-26-16,,2.1,7.7,2.8,,11.2,126.5,223.1,861.8,BDL,0.7,7.1,1.5,40.2,0.5,5,28.6,66.3,BDL,0,6.5,BDL,9.2,BDL,0.2,1,,,21,24,98,98,369,7,81,43,4,2.2,1.47,211,17.7,51,211,11.5,18.4,8.4,27,,,,,,,,,,,,,,,,
Mid South Family Farms 600 lb left,Mid South,Cotton,After Harvest 12-29-20,Novihum,600,,62-22-16,,2.2,7.7,5.1,,9.4,167,237.3,989.3,3.7,0.5,11.2,1.4,39.3,0.5,5.8,26.9,67.2,1.57,0,7.14,11.1,13.5,1.6,0.3,1,,,19,23,138,101,355,8,83,47,6,2.9,1.16,275.3,25.7,71,275.3,16.8,16.4,11.5,39,,,,,,,,,,,,,,,,
Mid South Family Farms 600 lb right,Mid South,Cotton,After Harvest 12-29-20,Novihum,600,,54-28-18,,2.2,7.6,6.5,,25.4,137.9,203.4,853.4,5.6,0.5,8.4,1.3,38.4,0.6,5.6,26.8,67.5,0.33,0,6.3,16.8,16.2,0.3,0.3,1,,,25,30,107,110,355,9,92,50,5,3.2,1.85,281.4,23.6,53,281.4,15.4,18.3,9.7,30,,,,,,,,,,,,,,,,
Mid South Family Farms 1200 lb left,Mid South,Cotton,After Harvest 12-29-20,Novihum,1200,,54-28-18,,2.1,7.9,8.9,,13.7,168.9,209.8,883.6,BDL,0.8,12.7,1.4,44.1,0.6,6.6,26.5,66.8,0.1,0,6.6,BDL,11.2,2.3,0.3,1,,,16,20,108,90,315,9,70,43,5,2,0.8,208.4,19.1,51,208.4,12.1,17.2,8.4,28,,,,,,,,,,,,,,,,
Mid South Family Farms 1200 lb right,Mid South,Cotton,After Harvest 12-29-20,Novihum,1200,,56-26-18,,2.1,7.6,5.6,,12.1,158.1,217.1,921.3,1.8,1.1,11.2,1.4,36.2,0.6,5.9,26.5,67.5,BDL,0,6.8,5.4,11.4,0.4,0.3,1,,,33,38,127,117,349,11,102,53,6,3.4,2.13,299.7,25.9,57,299.7,16.5,18.2,10.3,32,,,,,,,,,,,,,,,,
Hall 1/22/2020,Hall,Vineyards,Pre-Novium Aplication,Control,0,,20-26-54,,4.5,7.8,0.1,,3.1,216.2,393.5,2192.6,197.4,4.2,11.7,3.6,39.3,1.3,3.6,21.5,71.9,2.8,0,15.2,592.2,2.3,99.9,0.1,1,,,,5,3,253,180,12,50,81,1,0.7,1.12,183.2,2,19,183.2,0.3,610.7,3.8,2,,,,,,,,,,,,,,,,
Hall 1/22/2020,Hall,Vineyards,Pre-Novium Aplication,Novihum,1500,,22-28-50,,4.9,7.6,0.01,,0.2,191.4,257.8,2168.9,0.01,2.3,11.3,3.1,18.9,1.4,1.5,65.1,32.9,0.4,0,33,0.01,6.1,351,0.2,1,,,,10,53,352,231,16,73,111,2,0.5,2.13,186.1,5.7,44,186.1,3.2,58.2,6.6,7,,,,,,,,,,,,,,,,
Matthews Ridgeview PC1  5/7/20,Mathews,Sweet potato,Pre-Novium Aplication,Control,0,,14-66-20,,1.9,6,8.9,,10.1,82.9,161.4,941.5,13,0.6,91.9,0.8,48.2,0.1,3,19.2,67,0.7,10,6.3,39,45.4,12.4,0.8,1,,,8.7,11,22,44,220,13,50,53,9,1,0.81,132.5,14.8,102,132.5,4.8,27.6,12,12,,,,,,,,,,,,,,,,
Matthews Ridgeview PC1 NH 5/7/20,Mathews,Sweet potato,Pre-Novium Aplication,Novihum,300,,18-70-12,,1.8,6.1,8.3,,13.8,114.1,258.6,1305.8,4,0.3,116,0.8,52.5,0.1,2.9,21.6,65.4,0.9,9,9.1,12,63.4,22.5,0.9,1,,,Not enough Sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthews Ridgeview PC1  7/15/20,Mathews,Sweet potato,Mid-Growth,Control,0,,10-72-18,,0.8,6.7,24.4,,13.8,103.2,226.9,1239.7,40.9,8.3,65.4,2.4,79.3,0.4,3,21.6,70.8,1.5,3,8.5,122.7,38.9,30.2,0.4,1,,,Not enough Sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthews Ridgeview PC1 NH 7/15/20,Mathews,Sweet potato,Mid-Growth,Novihum,300,,8-80-12,,1.5,6.5,22.2,,11.1,71.8,147.6,986.6,42.8,4.4,96.1,2.1,11.2,0.2,2.7,18.1,72.4,1.7,5,6.5,128.4,19.9,27.7,0.5,1,,,Not enough Sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthews Ridgeview PC1  2/12/20,Mathews,Sweet potato,Mid-Growth,Control,0,,8-68-24,,1.7,7.5,1.5,,11.8,92.2,230.1,1096.6,2.3,1.9,25.4,0.8,25.7,0.2,3.1,24.8,70.9,1.2,0,7.7,6.9,19.7,22.1,0.2,1,,,8.1,12,43,54,265,17,54,58,2,3.8,0.79,290.8,18.9,119,290.8,13.1,22.2,16.1,34,,,,,,,,,,,,,,,,
Matthews Ridgeview PC1 NH 2/12/20,Mathews,Sweet potato,Mid-Growth,Novihum,300,,6-74-20,,2,7.3,2.8,,19,63.2,207.1,1166.1,BDL,2.1,26.3,1.1,52.8,0.2,2.1,22.3,75.2,0.3,0,7.7,0,10.8,6.6,0.2,1,,,24.4,31,36,64,352,12,114,46,3,4,3.57,285.1,20.8,99,285.1,13.8,20.7,14.1,36,,,,,,,,,,,,,,,,
Matthews Ridgeview MK3  5/7/20,Mathews,Sweet potato,Pre-Novium Aplication,Control,0,,10-70-20,,2.3,5.7,9.4,13.5,,85.6,211.2,1171.6,7.9,1.5,119.3,1.7,97.9,0.1,2.4,19.4,64.4,0.7,13,7.9,23.7,73.1,15.7,1,1,,,12.5,15,26,41,189,10,60,25,11,2,2.09,208,21.4,154,208,8.4,24.8,18.3,21,,,,,,,,,,,,,,,,
Matthews Ridgeview MK3 NH 5/7/20,Mathews,Sweet potato,Pre-Novium Aplication,Novihum,300,,12-74-14,,2.1,6.1,7,,8.2,210.8,162.1,1250.9,24.2,0.9,95.8,1,48.7,0.1,5.9,14.8,68.4,1.8,9,8.3,72.6,76.4,38.4,0.9,1,,,4.2,6,23,41,195,9,28,22,12,1.4,0.53,162.5,19.7,127,162.5,6.3,25.8,15,15,,,,,,,,,,,,,,,,
Matthews Ridgeview MK3  7/15/20,Mathews,Sweet potato,Mid-Growth,Control,0,,8-76-16,,1.1,6.6,25,,8.2,76.4,196.2,1223,33.6,4.3,75.2,2.9,114,0.1,2.3,19.4,72.5,1.7,4,8.1,100.8,36.1,34.1,0.5,1,,,Not enough Sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthews Ridgeview MK3 NH 7/15/20,Mathews,Sweet potato,Mid-Growth,Novihum,300,,10-78-12,,1.3,6.5,17.6,,11.1,67.4,176.7,1144.6,21.3,7,66,2.4,93.5,0.1,2.2,18.8,73,0.9,5,7.4,63.9,50.4,16.7,0.4,1,,,Not enough Sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthews Ridgeview MK3  2/12/20,Mathews,Sweet potato,Pre-Novium Aplication,Control,0,,4-72-24,,1.8,7.2,3.8,,24.2,76,290.4,1466.3,1.3,2.2,22.3,1.3,43.1,0.1,1.9,24.1,73,0.9,0,10,3.9,22.1,21.9,0.2,1,,,16.4,23,32,66,324,16,93,51,2,2.8,1.42,250.5,17.1,111,250.5,12.3,20.4,14.8,30,,,,,,,,,,,,,,,,
