ID,Multiyear ID,Single or multiple application,Operator,Trial Type,Trial Status,Country,Location/Place,Year of Results,Crop,Seed/Transplant,Novihum Product,Granulate Size,Base Material Origin,Rate Novihum in kg/m²,Rate Novihum in Vol%,Rate Novihum in Mass%,Application Depth in m,Application Wide in m,Application Technique,Application Periode,Other Products,Fert flag,Nitrogen Compensation,Compost Manure,Drought Trial,Irrigation Level in %,Soil note,Soil Type in Numbers of Sand Silt Clay,Sand,Silt,Clay,Soil Type/Substrate,pH (Method not Known,pH (in H2O),pH (in KCl-Solution),pH (in CaCl2-Solution),Corg-Level Qualitativ,Corg-Level Quantitativ,Growth Conditions,Controlled Conditions,Result Control (Data as Recieved ),Unit1,Result Novihum (Data as Recieved),Unit2,Result Control (Edited by Novihum),Unit3,Result Novihum (Edited by Novihum),Unit4,Relative Yield difference,Statistical Significant,Standard Deviation Control,Standard Deviation Novihum,Earlier Higher Yield,Visible Quality Difference,Additional Information,Further Addition Information,Bulk Density,Row Number in Excel,Trial Quality for NN,App rate,Rel yield
269,BTU Heinerbrueck,yearly,BTU,Science,closed,Germany,Heinersbrück,2017,Summer Wheat,Seeds,Novihum (discontinued),not sieved,Rhein,0.75,,,0.2,1,Flat,yearly,yes,,TRUE,no,FALSE,,sandy in-use,85;10;5,85,10,5,loamy sand,,,,,Mid,,free,No,14.87,dt/ha,11,dt/ha,0.15,kg/m²,0.14,kg/m²,-0.26,FALSE,,,FALSE,,"3*7,5 t/ha",,,308,+,7500,-0.26
270,BTU Heinerbrueck,single,BTU,Science,closed,Germany,Heinersbrück,2017,Summer Wheat,Seeds,Novihum (discontinued),not sieved,Rhein,1.1,,,0.2,1,Flat,single,yes,,TRUE,no,FALSE,,sandy in-use,85;10;5,85,10,5,loamy sand,,,,,Mid,,free,No,14.87,dt/ha,11.8,dt/ha,0.15,kg/m²,0.118,kg/m²,-0.21,FALSE,,,FALSE,,,,,310,+,11000,-0.21
271,BTU Heinerbrueck,single,BTU,Science,closed,Germany,Heinersbrück,2017,Summer Wheat,Seeds,Novihum (discontinued),not sieved,Rhein,1.5,,,0.2,1,Flat,single,yes,,TRUE,no,FALSE,,sandy in-use,85;10;5,85,10,5,loamy sand,,,,,Mid,,free,No,14.87,dt/ha,11.54,dt/ha,0.15,kg/m²,0.116,kg/m²,-0.22,FALSE,,,FALSE,,,,,311,+,15000,-0.22
272,BTU Heinerbrueck,single,BTU,Science,closed,Germany,Heinersbrück,2017,Summer Wheat,Seeds,Novihum (discontinued),not sieved,Rhein,2.25,,,0.2,1,Flat,single,yes,,TRUE,no,FALSE,,sandy in-use,85;10;5,85,10,5,loamy sand,,,,,Mid,,free,No,14.87,dt/ha,15.56,dt/ha,0.15,kg/m²,0.156,kg/m²,0.05,FALSE,,,FALSE,,,,,312,+,22500,0.05
273,,,Florida Crystals,Commercial,closed,USA,Florida,2014,Sugar cane,Seeds,Novihum (discontinued),not sieved,Lausitz,1,,,0.3,1,Flat,,commercial fertilizer,,FALSE,both,FALSE,,in-use,,,,,,,,,,Mid,,free,No,,,,,,,,,,FALSE,,,FALSE,o,,,,201,+,10000,
274,,,Florida Crystals,Commercial,closed,USA,Florida,2014,Sugar cane,Seeds,Novihum (discontinued),not sieved,Lausitz,1,,,0.3,1,Flat,,10% more fertilizer,,FALSE,both,FALSE,,in-use,,,,,,,,,,Mid,,free,No,,,,,,,,,,FALSE,,,FALSE,o,,,,202,+,10000,
275,,,IGZ,Science,closed,Germany,Großbeeren,2013,Lettuce,Seeds,Novihum (discontinued),not sieved,Lausitz,,2.5,,,,Pot,,,,FALSE,no,FALSE,,Fruhstorfer Erde Typ P,peat based,,,,peat,6.1,,,,Mid,,protected,Yes,0.08,g DM/plant,0.22,g DM/plant,,,,,1.75,TRUE,,,FALSE,+,,,,156,+,0,1.75
276,,,IGZ,Science,closed,Germany,Großbeeren,2013,Lettuce,Seeds,Novihum (discontinued),not sieved,Lausitz,,5,,,,Pot,,,,FALSE,no,FALSE,,Fruhstorfer Erde Typ P,peat based,,,,peat,6.3,,,,Mid,,protected,Yes,0.08,g DM/plant,0.16,g DM/plant,,,,,1.00,FALSE,,,FALSE,+,,,,157,+,0,1.00
277,,,IGZ,Science,closed,Germany,Großbeeren,2013,Lettuce,Seeds,Novihum (discontinued),not sieved,Lausitz,,7.5,,,,Pot,,,,FALSE,no,FALSE,,Fruhstorfer Erde Typ P,peat based,,,,peat,6.4,,,,Mid,,protected,Yes,0.08,g DM/plant,0.1,g DM/plant,,,,,0.25,TRUE,,,FALSE,+,,,,158,+,0,0.25
278,,,IGZ,Science,closed,Germany,Großbeeren,2013,Kohlrabi,Seeds,Novihum (discontinued),not sieved,Lausitz,,2.5,,,,Pot,,,,FALSE,no,FALSE,,Fruhstorfer Erde Typ P,peat based,,,,peat,6.1,,,,Mid,,protected,Yes,0.09,g DM/plant,0.17,g DM/plant,,,,,0.89,TRUE,,,FALSE,+,,,,159,+,0,0.89
279,,,IGZ,Science,closed,Germany,Großbeeren,2013,Kohlrabi,Seeds,Novihum (discontinued),not sieved,Lausitz,,5,,,,Pot,,,,FALSE,no,FALSE,,Fruhstorfer Erde Typ P,peat based,,,,peat,6.3,,,,Mid,,protected,Yes,0.09,g DM/plant,0.18,g DM/plant,,,,,1.00,FALSE,,,FALSE,+,,,,160,+,0,1.00
280,,,IGZ,Science,closed,Germany,Großbeeren,2013,Kohlrabi,Seeds,Novihum (discontinued),not sieved,Lausitz,,7.5,,,,Pot,,,,FALSE,no,FALSE,,Fruhstorfer Erde Typ P,peat based,,,,peat,6.4,,,,Mid,,protected,Yes,0.09,g DM/plant,0.14,g DM/plant,,,,,0.56,FALSE,,,FALSE,+,,,,161,+,0,0.56
281,,,IGZ,Science,closed,Germany,Großbeeren,2013,Broccoli,Seeds,Novihum (discontinued),not sieved,Lausitz,,2.5,,,,Pot,,,,FALSE,no,FALSE,,Fruhstorfer Erde Typ P,peat based,,,,peat,6.1,,,,Mid,,protected,Yes,0.06,g DM/plant,0.12,g DM/plant,,,,,1.00,TRUE,,,FALSE,+,,,,162,+,0,1.00
282,,,IGZ,Science,closed,Germany,Großbeeren,2013,Broccoli,Seeds,Novihum (discontinued),not sieved,Lausitz,,5,,,,Pot,,,,FALSE,no,FALSE,,Fruhstorfer Erde Typ P,peat based,,,,peat,6.3,,,,Mid,,protected,Yes,0.06,g DM/plant,0.14,g DM/plant,,,,,1.33,FALSE,,,FALSE,+,,,,163,+,0,1.33
283,,,IGZ,Science,closed,Germany,Großbeeren,2013,Broccoli,Seeds,Novihum (discontinued),not sieved,Lausitz,,7.5,,,,Pot,,,,FALSE,no,FALSE,,Fruhstorfer Erde Typ P,peat based,,,,peat,6.4,,,,Mid,,protected,Yes,0.06,g DM/plant,0.11,g DM/plant,,,,,0.83,FALSE,,,FALSE,+,,,,164,+,0,0.83
284,,,IGZ,Science,closed,Germany,Großbeeren,2013,Celery,Seeds,Novihum (discontinued),not sieved,Lausitz,,2.5,,,,Pot,,,,FALSE,no,FALSE,,Fruhstorfer Erde Typ P,peat based,,,,peat,6.1,,,,Mid,,protected,Yes,0.09,g DM/plant,0.29,g DM/plant,,,,,2.22,TRUE,,,FALSE,+,,,,165,+,0,2.22
285,,,IGZ,Science,closed,Germany,Großbeeren,2013,Celery,Seeds,Novihum (discontinued),not sieved,Lausitz,,5,,,,Pot,,,,FALSE,no,FALSE,,Fruhstorfer Erde Typ P,peat based,,,,peat,6.3,,,,Mid,,protected,Yes,0.09,g DM/plant,0.31,g DM/plant,,,,,2.44,FALSE,,,FALSE,+,,,,166,+,0,2.44
286,,,IGZ,Science,closed,Germany,Großbeeren,2013,Celery,Seeds,Novihum (discontinued),not sieved,Lausitz,,7.5,,,,Pot,,,,FALSE,no,FALSE,,Fruhstorfer Erde Typ P,peat based,,,,peat,6.4,,,,Mid,,protected,Yes,0.09,g DM/plant,0.22,g DM/plant,,,,,1.44,FALSE,,,FALSE,+,,,,167,+,0,1.44
287,,,IGZ,Science,closed,Germany,Großbeeren,2013,Tomato,Transplants,Novihum (discontinued),not sieved,Lausitz,,5,,,,Pot,,,,FALSE,no,FALSE,,Fruhstorfer Erde Typ P,peat based,,,,peat,6.3,,,,Mid,,protected,Yes,5.3,g DM/plant,9.96,g DM/plant,,,,,0.88,TRUE,,,FALSE,+,,,,168,+,0,0.88
288,,,IGZ,Science,closed,Germany,Großbeeren,2013,Tomato,Transplants,Novihum (discontinued),not sieved,Lausitz,,10,,,,Pot,,,,FALSE,no,FALSE,,Fruhstorfer Erde Typ P,peat based,,,,peat,6.4,,,,Mid,,protected,Yes,5.3,g DM/plant,8.83,g DM/plant,,,,,0.67,TRUE,,,FALSE,+,,,,169,+,0,0.67
289,,,IGZ,Science,closed,Germany,Großbeeren,2013,Tomato,Transplants,Novihum (discontinued),not sieved,Lausitz,,15,,,,Pot,,,,FALSE,no,FALSE,,Fruhstorfer Erde Typ P,peat based,,,,peat,6.5,,,,Mid,,protected,Yes,5.3,g DM/plant,4.54,g DM/plant,,,,,-0.14,FALSE,,,FALSE,-,,,,170,+,0,-0.14
290,,,IGZ,Science,closed,Germany,Großbeeren,2013,Bell Pepper,Transplants,Novihum (discontinued),not sieved,Lausitz,,5,,,,Pot,,,,FALSE,no,FALSE,,Fruhstorfer Erde Typ P,peat based,,,,peat,6.3,,,,Mid,,protected,Yes,1.5,g DM/plant,2.51,g DM/plant,,,,,0.67,TRUE,,,FALSE,+,,,,171,+,0,0.67
291,,,IGZ,Science,closed,Germany,Großbeeren,2013,Bell Pepper,Transplants,Novihum (discontinued),not sieved,Lausitz,,10,,,,Pot,,,,FALSE,no,FALSE,,Fruhstorfer Erde Typ P,peat based,,,,peat,6.4,,,,Mid,,protected,Yes,1.5,g DM/plant,2.54,g DM/plant,,,,,0.69,TRUE,,,FALSE,+,,,,172,+,0,0.69
292,,,IGZ,Science,closed,Germany,Großbeeren,2013,Bell Pepper,Transplants,Novihum (discontinued),not sieved,Lausitz,,15,,,,Pot,,,,FALSE,no,FALSE,,Fruhstorfer Erde Typ P,peat based,,,,peat,6.5,,,,Mid,,protected,Yes,1.5,g DM/plant,1.07,g DM/plant,,,,,-0.29,FALSE,,,FALSE,-,,,,173,+,0,-0.29
293,,,IGZ,Science,closed,Germany,Großbeeren,2013,Lettuce,Transplants,Novihum (discontinued),not sieved,Lausitz,,2.5,,,,no,,10 g N/m²,,FALSE,no,FALSE,,sandy in-use,,,,,,,,,,Mid,,free,No,2250,g,1450,g,,,,,-0.36,TRUE,,,FALSE,o,,,,174,+,0,-0.36
294,,,IGZ,Science,closed,Germany,Großbeeren,2013,Lettuce,Transplants,Novihum (discontinued),not sieved,Lausitz,,5,,,,no,,10 g N/m²,,FALSE,no,FALSE,,sandy in-use,,,,,,,,,,Mid,,free,No,2250,g,1550,g,,,,,-0.31,FALSE,,,FALSE,o,,,,175,0,0,-0.31
295,,,IGZ,Science,closed,Germany,Großbeeren,2013,Lettuce,Transplants,Novihum (discontinued),not sieved,Lausitz,,7.5,,,,no,,10 g N/m²,,FALSE,no,FALSE,,sandy in-use,,,,,,,,,,Mid,,free,No,2250,g,1050,g,,,,,-0.53,FALSE,,,FALSE,-,,,,176,+,0,-0.53
296,,,IGZ,Science,closed,Germany,Großbeeren,2013,Kohlrabi,Transplants,Novihum (discontinued),not sieved,Lausitz,,2.5,,,,no,,12 g N/m²,,FALSE,no,FALSE,,sandy in-use,,,,,,,,,,Mid,,free,No,2470,g,2450,g,,,,,-0.01,FALSE,,,FALSE,+,,,,177,0,0,-0.01
297,,,IGZ,Science,closed,Germany,Großbeeren,2013,Kohlrabi,Transplants,Novihum (discontinued),not sieved,Lausitz,,5,,,,no,,12 g N/m²,,FALSE,no,FALSE,,sandy in-use,,,,,,,,,,Mid,,free,No,2470,g,2490,g,,,,,0.01,FALSE,,,FALSE,+,,,,178,+,0,0.01
298,,,IGZ,Science,closed,Germany,Großbeeren,2013,Kohlrabi,Transplants,Novihum (discontinued),not sieved,Lausitz,,7.5,,,,no,,12 g N/m²,,FALSE,no,FALSE,,sandy in-use,,,,,,,,,,Mid,,free,No,2470,g,2100,g,,,,,-0.15,FALSE,,,FALSE,o,,,,179,+,0,-0.15
299,,,IGZ,Science,closed,Germany,Großbeeren,2013,Broccoli,Transplants,Novihum (discontinued),not sieved,Lausitz,,2.5,,,,no,,10 g N/m² + 8 g N/m²,,FALSE,no,FALSE,,sandy in-use,,,,,,,,,,Mid,,free,No,1450,g,1530,g,,,,,0.06,FALSE,,,FALSE,+,,,,180,+,0,0.06
300,,,IGZ,Science,closed,Germany,Großbeeren,2013,Broccoli,Transplants,Novihum (discontinued),not sieved,Lausitz,,5,,,,no,,10 g N/m² + 8 g N/m²,,FALSE,no,FALSE,,sandy in-use,,,,,,,,,,Mid,,free,No,1450,g,1540,g,,,,,0.06,FALSE,,,FALSE,+,,,,181,+,0,0.06
301,,,IGZ,Science,closed,Germany,Großbeeren,2013,Broccoli,Transplants,Novihum (discontinued),not sieved,Lausitz,,7.5,,,,no,,10 g N/m² + 8 g N/m²,,FALSE,no,FALSE,,sandy in-use,,,,,,,,,,Mid,,free,No,1450,g,1600,g,,,,,0.10,FALSE,,,FALSE,+,,,,182,+,0,0.10
302,,,IGZ,Science,closed,Germany,Großbeeren,2013,Celery,Transplants,Novihum (discontinued),not sieved,Lausitz,,2.5,,,,no,,10 g N/m² + 5 g N/m²,,FALSE,no,FALSE,,sandy in-use,,,,,,,,,,Mid,,free,No,1090,g,1190,g,,,,,0.09,FALSE,,,FALSE,+,,,,183,+,0,0.09
303,,,IGZ,Science,closed,Germany,Großbeeren,2013,Celery,Transplants,Novihum (discontinued),not sieved,Lausitz,,5,,,,no,,10 g N/m² + 5 g N/m²,,FALSE,no,FALSE,,sandy in-use,,,,,,,,,,Mid,,free,No,1090,g,1300,g,,,,,0.19,FALSE,,,FALSE,+,,,,184,+,0,0.19
304,,,IGZ,Science,closed,Germany,Großbeeren,2013,Celery,Transplants,Novihum (discontinued),not sieved,Lausitz,,7.5,,,,no,,10 g N/m² + 5 g N/m²,,FALSE,no,FALSE,,sandy in-use,,,,,,,,,,Mid,,free,No,1090,g,1260,g,,,,,0.16,FALSE,,,FALSE,+,,,,185,+,0,0.16
305,,,IGZ,Science,closed,Germany,Großbeeren,2013,Tomato,Transplants,Novihum (discontinued),not sieved,Lausitz,,5,,,,no,,,,FALSE,no,FALSE,,sandy in-use,,,,,,,,,,Mid,,protected,Yes,395,g FM Fru/P,705,g FM Fru/P,,,,,0.78,FALSE,,,FALSE,+,,,,186,+,0,0.78
306,,,IGZ,Science,closed,Germany,Großbeeren,2013,Tomato,Transplants,Novihum (discontinued),not sieved,Lausitz,,10,,,,no,,,,FALSE,no,FALSE,,sandy in-use,,,,,,,,,,Mid,,protected,Yes,395,g FM Fru/P,820,g FM Fru/P,,,,,1.08,FALSE,,,FALSE,+,,,,187,+,0,1.08
307,,,IGZ,Science,closed,Germany,Großbeeren,2013,Tomato,Transplants,Novihum (discontinued),not sieved,Lausitz,,15,,,,no,,,,FALSE,no,FALSE,,sandy in-use,,,,,,,,,,Mid,,protected,Yes,395,g FM Fru/P,820,g FM Fru/P,,,,,1.08,FALSE,,,FALSE,+,,,,188,+,0,1.08
308,,,IGZ,Science,closed,Germany,Großbeeren,2013,Bell Pepper,Transplants,Novihum (discontinued),not sieved,Lausitz,,5,,,,no,,,,FALSE,no,FALSE,,sandy in-use,,,,,,,,,,Mid,,protected,Yes,130,g FM Fru/P,170,g FM Fru/P,,,,,0.31,FALSE,,,FALSE,+,,,,189,+,0,0.31
309,,,IGZ,Science,closed,Germany,Großbeeren,2013,Bell Pepper,Transplants,Novihum (discontinued),not sieved,Lausitz,,10,,,,no,,,,FALSE,no,FALSE,,sandy in-use,,,,,,,,,,Mid,,protected,Yes,130,g FM Fru/P,605,g FM Fru/P,,,,,3.65,TRUE,,,FALSE,+,,,,190,+,0,3.65
310,,,IGZ,Science,closed,Germany,Großbeeren,2013,Bell Pepper,Transplants,Novihum (discontinued),not sieved,Lausitz,,15,,,,no,,,,FALSE,no,FALSE,,sandy in-use,,,,,,,,,,Mid,,protected,Yes,130,g FM Fru/P,545,g FM Fru/P,,,,,3.19,FALSE,,,FALSE,+,,,,191,+,0,3.19
311,,,IGZ,Science,closed,Germany,Großbeeren,2013,Basil,Seeds,Novihum (discontinued),not sieved,Lausitz,,5,,,,Pot,,,,FALSE,no,FALSE,,Fruhstorfer Erde Typ P,peat based,,,,peat,6.3,,,,Mid,,protected,Yes,2,g DM/plant,2.73,g DM/plant,,,,,0.37,TRUE,,,FALSE,+,,,,192,+,0,0.37
312,,,IGZ,Science,closed,Germany,Großbeeren,2013,Basil,Seeds,Novihum (discontinued),not sieved,Lausitz,,10,,,,Pot,,,,FALSE,no,FALSE,,Fruhstorfer Erde Typ P,peat based,,,,peat,6.4,,,,Mid,,protected,Yes,2,g DM/plant,1.64,g DM/plant,,,,,-0.18,FALSE,,,FALSE,o,,,,193,+,0,-0.18
313,,,IGZ,Science,closed,Germany,Großbeeren,2013,Basil,Seeds,Novihum (discontinued),not sieved,Lausitz,,15,,,,Pot,,,,FALSE,no,FALSE,,Fruhstorfer Erde Typ P,peat based,,,,peat,6.5,,,,Mid,,protected,Yes,2,g DM/plant,0.86,g DM/plant,,,,,-0.57,FALSE,,,FALSE,-,,,,194,+,0,-0.57
314,,,IGZ,Science,closed,Germany,Großbeeren,2013,Parcley,Seeds,Novihum (discontinued),not sieved,Lausitz,,5,,,,Pot,,,,FALSE,no,FALSE,,Fruhstorfer Erde Typ P,peat based,,,,peat,6.3,,,,Mid,,protected,Yes,1.7,g DM/plant,4,g DM/plant,,,,,1.35,TRUE,,,FALSE,+,,,,195,+,0,1.35
315,,,IGZ,Science,closed,Germany,Großbeeren,2013,Parcley,Seeds,Novihum (discontinued),not sieved,Lausitz,,10,,,,Pot,,,,FALSE,no,FALSE,,Fruhstorfer Erde Typ P,peat based,,,,peat,6.4,,,,Mid,,protected,Yes,1.7,g DM/plant,2.59,g DM/plant,,,,,0.52,TRUE,,,FALSE,+,,,,196,0,0,0.52
316,,,IGZ,Science,closed,Germany,Großbeeren,2013,Parcley,Seeds,Novihum (discontinued),not sieved,Lausitz,,15,,,,Pot,,,,FALSE,no,FALSE,,Fruhstorfer Erde Typ P,peat based,,,,peat,6.5,,,,Mid,,protected,Yes,1.7,g DM/plant,0.78,g DM/plant,,,,,-0.54,FALSE,,,FALSE,-,,,,197,+,0,-0.54
317,,,IGZ,Science,closed,Germany,Großbeeren,2013,Rosemary,Transplants,Novihum (discontinued),not sieved,Lausitz,,5,,,,Pot,,,,FALSE,no,FALSE,,Fruhstorfer Erde Typ P,peat based,,,,peat,6.3,,,,Mid,,protected,Yes,1.9,g DM/plant,1.24,g DM/plant,,,,,-0.35,FALSE,,,FALSE,-,,,,198,+,0,-0.35
318,,,IGZ,Science,closed,Germany,Großbeeren,2013,Rosemary,Transplants,Novihum (discontinued),not sieved,Lausitz,,10,,,,Pot,,,,FALSE,no,FALSE,,Fruhstorfer Erde Typ P,peat based,,,,peat,6.4,,,,Mid,,protected,Yes,1.9,g DM/plant,1.09,g DM/plant,,,,,-0.43,FALSE,,,FALSE,-,,,,199,+,0,-0.43
319,,,IGZ,Science,closed,Germany,Großbeeren,2013,Rosemary,Transplants,Novihum (discontinued),not sieved,Lausitz,,15,,,,Pot,,,,FALSE,no,FALSE,,Fruhstorfer Erde Typ P,peat based,,,,peat,6.5,,,,Mid,,protected,Yes,1.9,g DM/plant,0.4,g DM/plant,,,,,-0.79,FALSE,,,FALSE,-,,,,200,+,0,-0.79
320,,,UC Davis,Science,closed,USA,Davis,2016,Lilium longiflorum,Transplants,Novihum (discontinued),not sieved,Lausitz,,1.5,,,,Pot,,,,TRUE,no,FALSE,,UC Mix,peat based,,,,peat,,,,,Mid,,protected,Yes,255.1,g,254.09,g,11.09,kg/m²,11.05,kg/m²,0.00,FALSE,,,FALSE,o,,,,234,0,0,0.00
321,,,UC Davis,Science,closed,USA,Davis,2016,Lilium longiflorum,Transplants,Novihum (discontinued),not sieved,Lausitz,,3,,,,Pot,,,,TRUE,no,FALSE,,UC Mix,peat based,,,,peat,,,,,Mid,,protected,Yes,255.1,g,272.83,g,11.09,kg/m²,11.86,kg/m²,0.07,FALSE,,,FALSE,o,,,,235,0,0,0.07
322,,,UC Davis,Science,closed,USA,Davis,2016,Lilium longiflorum,Transplants,Novihum (discontinued),not sieved,Lausitz,,6,,,,Pot,,,,TRUE,no,FALSE,,UC Mix,peat based,,,,peat,,,,,Mid,,protected,Yes,255.1,g,235,g,11.09,kg/m²,10.22,kg/m²,-0.08,FALSE,,,FALSE,o,,,,236,0,0,-0.08
323,,,UC Davis,Science,closed,USA,Davis,2016,Lilium longiflorum,Transplants,Novihum (discontinued),not sieved,Lausitz,,1.5,,,,Pot,,,,TRUE,no,FALSE,,Cocos Substrat,Cocos,,,,cocos,,,,,Low,,protected,Yes,243.67,g,220.24,g,10.59,kg/m²,9.57,kg/m²,-0.10,FALSE,,,FALSE,o,,,,237,0,0,-0.10
324,,,UC Davis,Science,closed,USA,Davis,2016,Lilium longiflorum,Transplants,Novihum (discontinued),not sieved,Lausitz,,3,,,,Pot,,,,TRUE,no,FALSE,,Cocos Substrat,Cocos,,,,cocos,,,,,Low,,protected,Yes,243.67,g,232.22,g,10.59,kg/m²,10.1,kg/m²,-0.05,FALSE,,,FALSE,o,,,,238,0,0,-0.05
325,,,UC Davis,Science,closed,USA,Davis,2016,Lilium longiflorum,Transplants,Novihum (discontinued),not sieved,Lausitz,,6,,,,Pot,,,,TRUE,no,FALSE,,Cocos Substrat,Cocos,,,,cocos,,,,,Low,,protected,Yes,243.67,g,223.82,g,10.59,kg/m²,9.73,kg/m²,-0.08,FALSE,,,FALSE,o,,,,239,0,0,-0.08
326,,,UC Davis,Science,closed,USA,Davis,2016,Rose,Transplants,Novihum (discontinued),not sieved,Lausitz,,3,,,,Pot,,,,TRUE,no,FALSE,,UC Mix,peat based,,,,peat,,,,,Mid,,protected,Yes,11.12,cm,12.55,cm,,,,,0.13,FALSE,,,FALSE,+,,,,240,+,0,0.13
327,,,UC Davis,Science,closed,USA,Davis,2016,Rose,Transplants,Novihum (discontinued),not sieved,Lausitz,,6,,,,Pot,,,,TRUE,no,FALSE,,UC Mix,peat based,,,,peat,,,,,Mid,,protected,Yes,11.12,cm,13.4,cm,,,,,0.21,FALSE,,,FALSE,+,,,,241,+,0,0.21
328,,,UC Davis,Science,closed,USA,Davis,2016,Rose,Transplants,Novihum (discontinued),not sieved,Lausitz,,3,,,,Pot,,,,TRUE,no,FALSE,,Cocos Substrat,Cocos,,,,cocos,,,,,Low,,protected,Yes,9.98,cm,12.09,cm,,,,,0.21,FALSE,,,FALSE,+,,,,242,+,0,0.21
329,,,UC Davis,Science,closed,USA,Davis,2016,Rose,Transplants,Novihum (discontinued),not sieved,Lausitz,,6,,,,Pot,,,,TRUE,no,FALSE,,Cocos Substrat,Cocos,,,,cocos,,,,,Low,,protected,Yes,9.98,cm,10.77,cm,,,,,0.08,FALSE,,,FALSE,+,,,,243,0,0,0.08
330,,,UC Davis,Science,closed,USA,Davis,2016,Rose,Transplants,Novihum (discontinued),not sieved,Lausitz,,3,,,,Pot,,,,TRUE,no,FALSE,,Perlite,Mineral,,,,mineral,,,,,Low,,protected,Yes,9.77,cm,8.57,cm,,,,,-0.12,FALSE,,,FALSE,-,,,,244,0,0,-0.12
331,,,UC Davis,Science,closed,USA,Davis,2016,Rose,Transplants,Novihum (discontinued),not sieved,Lausitz,,6,,,,Pot,,,,TRUE,no,FALSE,,Perlite,Mineral,,,,mineral,,,,,Low,,protected,Yes,9.77,cm,7.63,cm,,,,,-0.22,FALSE,,,FALSE,-,,,,245,0,0,-0.22
332,,,UC Davis,Science,closed,USA,Davis,2016,Basil,Transplants,Novihum (discontinued),not sieved,Lausitz,,3,,,,Pot,,,,TRUE,no,FALSE,,UC Mix,peat based,,,,peat,,,,,Mid,,protected,Yes,57.25,g,70.5,g,7.16,kg/m²,8.81,kg/m²,0.23,FALSE,,,FALSE,+,,,,246,0,0,0.23
333,,,UC Davis,Science,closed,USA,Davis,2016,Basil,Transplants,Novihum (discontinued),not sieved,Lausitz,,3,,,,Pot,,,,TRUE,no,FALSE,,Perlite,Mineral,,,,mineral,,,,,Mid,,protected,Yes,42.88,g,31.56,g,5.36,kg/m²,3.95,kg/m²,-0.26,TRUE,,,FALSE,-,,,,247,0,0,-0.26
334,,,UC Davis,Science,closed,USA,Davis,2016,Tomato,Transplants,Novihum (discontinued),not sieved,Lausitz,,3,,,,Pot,,,,TRUE,no,FALSE,,UC Mix,peat based,,,,peat,,,,,Low,,protected,Yes,121.25,g,129.31,g,5.271,kg/m²,5.622,kg/m²,0.07,FALSE,,,TRUE,+,,,,248,+,0,0.07
335,,,UC Davis,Science,closed,USA,Davis,2016,Tomato,Transplants,Novihum (discontinued),not sieved,Lausitz,,6,,,,Pot,,,,TRUE,no,FALSE,,UC Mix,peat based,,,,peat,,,,,Low,,protected,Yes,121.25,g,118.14,g,5.271,kg/m²,5.136,kg/m²,-0.03,FALSE,,,FALSE,o,,,,249,+,0,-0.03
336,,,UC Davis,Science,closed,USA,Davis,2016,Tomato,Transplants,Novihum (discontinued),not sieved,Lausitz,,3,,,,Pot,,,,TRUE,no,FALSE,,Cocos Substrat,Cocos,,,,cocos,,,,,Low,,protected,Yes,100.37,g,115.88,g,4.363,kg/m²,5.038,kg/m²,0.15,FALSE,,,TRUE,+,,,,250,0,0,0.15
337,,,UC Davis,Science,closed,USA,Davis,2016,Tomato,Transplants,Novihum (discontinued),not sieved,Lausitz,,6,,,,Pot,,,,TRUE,no,FALSE,,Cocos Substrat,Cocos,,,,cocos,,,,,Low,,protected,Yes,100.37,g,102.23,g,4.363,kg/m²,4.445,kg/m²,0.02,FALSE,,,TRUE,+,,,,251,+,0,0.02
338,,,UC Davis,Science,closed,USA,Davis,2016,Tomato,Transplants,Novihum (discontinued),not sieved,Lausitz,,3,,,,Pot,,,,TRUE,no,FALSE,,Perlite,Mineral,,,,mineral,,,,,Low,,protected,Yes,92.47,g,99.15,g,4.02,kg/m²,4.311,kg/m²,0.07,FALSE,,,TRUE,+,,,,252,+,0,0.07
339,,,UC Davis,Science,closed,USA,Davis,2016,Tomato,Transplants,Novihum (discontinued),not sieved,Lausitz,,6,,,,Pot,,,,TRUE,no,FALSE,,Perlite,Mineral,,,,mineral,,,,,Low,,protected,Yes,92.47,g,64.25,g,4.02,kg/m²,2.793,kg/m²,-0.31,TRUE,,,FALSE,-,,,,253,0,0,-0.31
340,,,Hansabred,Science,closed,Germany,Weixdorf,2016,Strawberry,Transplants,Novihum (discontinued),not sieved,Lausitz,,1,,,,Flat,,,,TRUE,no,FALSE,,BVB substrat,Cocos,,,,cocos,,,,,Mid,,protected,Yes,179.26,g/plant,220.89,g/plant,0.72,kg/m²,0.88,kg/m²,0.23,TRUE,,,FALSE,+,Harnstoff,pots,,279,+,0,0.23
341,,,Hansabred,Science,closed,Germany,Weixdorf,2017,Strawberry,Transplants,Novihum (discontinued),not sieved,Rhein,,1,,,,Flat,,,,FALSE,no,FALSE,,BVB substrat,Cocos,,,,cocos,,,,,Mid,,protected,Yes,,,,,,,,,,FALSE,,,FALSE,o,Harnstoff,bags,,280,+,0,
